2452877.57382 17.779 0.023 4.26 629.0
2452882.63687 17.822 0.017 4.04 521.0
2452892.52667 17.800 0.027 4.57 878.0
2452895.67702 17.786 0.023 4.11 973.0
2452900.53857 17.824 0.029 5.11 774.0
2452905.59247 17.785 0.028 5.42 818.0
2452911.50832 17.797 0.034 6.38 772.0
2452916.57674 17.822 0.034 4.65 1481.0
2452929.53699 17.868 0.041 6.36 971.0
2453050.85123 17.879 0.033 5.03 1147.0
2453058.81644 17.896 0.028 5.04 882.0
2453061.88085 17.818 0.024 4.59 692.0
2453067.81727 17.831 0.024 4.73 705.0
2453069.89096 17.851 0.020 3.80 553.0
2453072.85577 17.793 0.019 3.37 740.0
2453074.89526 17.813 0.022 4.31 653.0
2453079.80217 17.834 0.025 3.21 1612.0
2453081.90613 17.793 0.026 5.05 761.0
2453084.76181 17.804 0.020 3.98 558.0
2453086.75667 17.844 0.019 3.88 589.0
2453087.86091 17.831 0.022 5.31 529.0
2453089.77755 17.814 0.020 3.76 623.0
2453091.73955 17.791 0.022 4.49 603.0
2453096.76651 17.819 0.025 5.19 689.0
2453098.77091 17.774 0.022 4.32 725.0
2453100.88717 17.815 0.020 4.11 683.0
2453102.76647 17.826 0.024 3.78 952.0
2453103.91961 17.808 0.027 4.48 1004.0
2453107.76637 17.804 0.021 4.38 588.0
2453108.83649 17.772 0.019 4.02 642.0
2453109.90611 17.787 0.020 4.59 648.0
2453110.75569 17.800 0.022 4.21 821.0
2453111.81319 17.758 0.022 5.02 585.0
2453113.79237 17.819 0.020 4.38 471.0
2453114.73068 17.821 0.020 4.08 553.0
2453115.79258 17.870 0.021 4.40 567.0
2453118.84926 17.806 0.025 4.93 704.0
2453122.79959 17.823 0.029 6.25 561.0
2453125.77706 17.761 0.028 5.93 635.0
2453126.78724 17.832 0.020 3.92 668.0
2453127.71697 17.863 0.023 3.82 755.0
2453128.73657 17.778 0.024 4.88 757.0
2453129.71942 17.802 0.026 3.97 1060.0
2453130.89085 17.869 0.030 4.43 1216.0
2453134.68968 17.770 0.043 4.23 2798.0
2453137.73594 17.847 0.028 6.05 634.0
2453138.84344 17.810 0.020 3.92 592.0
2453139.77924 17.846 0.021 4.57 498.0
2453140.79144 17.853 0.019 3.67 553.0
2453142.65004 17.851 0.023 5.00 566.0
2453142.90621 17.799 0.023 4.27 820.0
2453144.71367 17.822 0.020 4.61 484.0
2453146.67630 17.705 0.023 5.70 566.0
2453151.67051 17.774 0.030 6.67 572.0
2453152.67569 17.847 0.022 4.19 595.0
2453152.88859 17.788 0.027 5.62 656.0
2453153.67861 17.815 0.025 5.36 565.0
2453154.62126 17.742 0.033 7.10 726.0
2453156.66975 17.835 0.024 4.55 766.0
2453158.75447 17.723 0.028 5.17 971.0
2453162.72522 17.841 0.023 3.70 890.0
2453163.68905 17.807 0.020 4.24 592.0
2453164.65632 17.801 0.021 4.24 571.0
2453165.82432 17.783 0.016 3.06 786.0
2453166.66218 17.746 0.032 6.67 650.0
2453166.68600 17.767 0.029 6.35 638.0
2453166.71102 17.755 0.027 5.71 659.0
2453166.73748 17.773 0.029 5.92 657.0
2453166.75627 17.743 0.031 6.15 728.0
2453166.77827 17.713 0.032 6.88 718.0
2453166.80324 17.733 0.033 7.13 650.0
2453166.82137 17.746 0.037 7.40 678.0
2453166.85253 17.803 0.035 6.56 806.0
2453166.86530 17.796 0.037 6.87 785.0
2453166.88353 17.893 0.036 6.62 754.0
2453166.91301 17.761 0.037 7.35 851.0
2453167.54650 17.874 0.043 7.64 805.0
2453167.59940 17.805 0.027 5.81 567.0
2453167.68901 17.797 0.025 5.74 510.0
2453167.76064 17.808 0.026 5.86 532.0
2453167.87160 17.855 0.027 5.44 603.0
2453168.53457 17.756 0.031 6.35 711.0
2453168.61582 17.823 0.020 4.76 493.0
2453168.76142 17.770 0.020 4.62 584.0
2453168.89049 17.837 0.026 4.67 822.0
2453169.53402 17.772 0.023 4.34 804.0
2453169.64143 17.792 0.020 3.67 579.0
2453169.80443 17.764 0.024 4.97 610.0
2453169.89890 17.796 0.027 5.06 849.0
2453170.58142 17.812 0.022 4.98 507.0
2453170.71447 17.811 0.021 4.42 513.0
2453170.81849 17.807 0.019 3.84 565.0
2453171.57723 17.813 0.020 4.00 601.0
2453171.66945 17.776 0.018 4.05 478.0
2453172.52666 17.871 0.024 4.48 675.0
2453172.64930 17.799 0.018 3.84 512.0
2453173.75403 17.745 0.025 5.54 599.0
2453174.51336 17.832 0.027 5.03 857.0
2453174.63370 17.838 0.019 3.70 599.0
2453175.54198 17.800 0.022 4.41 709.0
2453175.63551 17.885 0.021 3.53 686.0
2453176.52979 17.819 0.038 6.75 887.0
2453176.66964 17.752 0.024 5.61 496.0
2453176.68677 17.790 0.027 6.20 500.0
2453177.68508 17.794 0.032 7.02 631.0
2453178.54633 17.912 0.028 5.08 705.0
2453178.69809 17.850 0.025 4.75 676.0
2453179.73514 17.772 0.019 4.72 483.0
2453180.62366 17.809 0.016 3.26 504.0
2453182.68931 17.848 0.021 4.61 485.0
2453183.63840 17.822 0.021 4.44 544.0
2453184.60925 17.818 0.018 3.82 475.0
2453185.77456 17.745 0.021 4.34 679.0
2453193.79281 17.782 0.022 4.71 579.0
2453194.65906 17.758 0.025 5.07 706.0
2453195.59024 17.855 0.021 4.39 576.0
2453196.66621 17.824 0.022 4.52 571.0
2453197.66911 17.865 0.026 5.19 522.0
2453199.70073 17.776 0.020 4.96 428.0
2453202.68851 17.805 0.023 5.33 533.0
2453203.73374 17.810 0.018 3.80 487.0
2453204.72942 17.822 0.020 3.77 521.0
2453205.60780 17.835 0.017 4.07 401.0
2453206.58488 17.811 0.018 4.41 451.0
2453210.69597 17.804 0.022 4.81 557.0
2453211.60094 17.866 0.025 5.91 491.0
2453212.58650 17.898 0.035 7.04 598.0
2453217.57574 17.929 0.053 3.50 5833.0
2453218.57496 17.762 0.028 5.10 951.0
2453223.57123 17.762 0.029 7.06 621.0
2453226.53520 17.790 0.023 5.20 492.0
2453228.66443 17.811 0.026 5.71 490.0
2453229.54829 17.830 0.025 5.23 588.0
2453230.58717 17.824 0.017 3.67 486.0
2453231.48812 17.753 0.023 4.86 680.0
2453240.69674 17.719 0.030 6.98 642.0
2453241.58108 17.788 0.035 4.97 1526.0
2453244.67849 17.780 0.037 4.78 2203.0
2453246.56506 17.773 0.031 6.34 700.0
2453247.69314 17.841 0.039 6.51 962.0
2453248.58989 17.747 0.026 5.54 649.0
2453250.57717 17.839 0.025 4.82 688.0
2453253.56900 17.805 0.022 5.28 438.0
2453256.54454 17.855 0.030 6.20 533.0
2453259.54527 17.810 0.028 5.92 561.0
2453262.55687 17.783 0.024 4.67 733.0
2453266.57051 17.823 0.034 6.75 680.0
2453268.63566 17.790 0.028 5.56 746.0
2453272.52583 17.738 0.022 4.30 833.0
2453274.54992 17.777 0.029 5.91 772.0
2453278.50027 17.752 0.024 4.71 639.0
2453281.52250 17.796 0.029 6.61 462.0
2453287.53294 17.711 0.023 5.44 602.0
2453292.52170 17.853 0.025 5.68 508.0
2453414.88507 17.831 0.022 4.65 650.0
2453419.89237 17.822 0.021 3.87 805.0
2453424.88931 17.807 0.020 3.98 723.0
2453428.83103 17.786 0.022 4.14 768.0
2453430.87431 17.807 0.018 3.79 619.0
2453442.81065 17.865 0.026 5.78 557.0
2453444.86474 17.799 0.021 4.60 555.0
2453446.89340 17.823 0.021 4.29 501.0
2453449.78314 17.877 0.023 5.03 543.0
2453452.80802 17.845 0.022 4.58 611.0
2453454.86522 17.799 0.025 4.72 871.0
2453457.79989 17.825 0.020 3.92 686.0
2453458.79399 17.744 0.021 4.38 743.0
2453458.84325 17.802 0.021 4.19 739.0
2453467.85135 17.866 0.020 4.34 452.0
2453469.75705 17.805 0.018 4.17 498.0
2453471.84696 17.758 0.025 5.84 537.0
2453472.91428 17.809 0.018 3.86 488.0
2453473.75163 17.799 0.021 5.01 475.0
2453475.77481 17.798 0.019 4.50 451.0
2453477.86192 17.748 0.021 4.64 524.0
2453479.81117 17.736 0.015 3.88 425.0
2453481.71058 17.775 0.021 4.57 567.0
2453483.87016 17.823 0.020 3.97 689.0
2453496.83347 17.883 0.023 4.57 661.0
2453497.70756 17.866 0.025 5.15 653.0
2453500.77168 17.806 0.019 3.81 526.0
